"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"Do Death (Do Books Edition)","Amanda Blainey",14.95,68381,"Social Science","Oct",2019,0,0
"Baby Sees First Colors","Akio Kashiwara",9.99,68384,"Juvenile Nonfiction","Oct",2019,0,0
"Gone So Long","Andre Dubus Iii",16.95,68394,"Fiction","Oct",2019,0.271633250407601,0.561336966604824
"Waves","Thom Gilbert",35,68422,"Sports & Recreation","Sep",2019,0,0
"Even the Saints Audition","Raych Jackson",16,68426,"Poetry","Sep",2019,0,0
"Anya and the Dragon","Sofiya Pasternack",16.99,68430,"Juvenile Fiction","Sep",2019,0.207655122655123,0.403542568542569
"The Life of - La Vida de Ritchie","Patty Rodriguez",9.99,68439,"Juvenile Nonfiction","Sep",2019,0,0
"The Infinite Blacktop","Sara Gran",16.99,68463,"Fiction","Sep",2019,0.129987547175047,0.544514478576979
"Dear Haiti, Love Alaine","Maika Moulite",18.99,68475,"Young Adult Fiction","Sep",2019,0,0
"A Beginner's Guide to Japan","Pico Iyer",24.95,68477,"History","Sep",2019,0.249151234567901,0.470068066578483
"As a River","Sion Dayson",17.99,68482,"Fiction","Sep",2019,0,0
"Machine","Susan Steinberg",15,68505,"Fiction","Aug",2019,0.123242389331099,0.369041451380161
"Presidio","Randy Kennedy",17,68535,"Fiction","Aug",2019,0.0480642551892552,0.336963333888334
"The Magic Christian","Terry Southern",16,68559,"Fiction","Jul",2019,0.0598639455782313,0.392006802721088
"The Typefaces","Scott Lambert",17.95,68572,"Juvenile Fiction","Jul",2019,0,0
"The Invention Hunters Discover How Electricity Works","Korwin Briggs",17.99,68575,"Juvenile Nonfiction","Jul",2019,0.03125,0.309107142857143
"Give Me Your Hand","Megan Abbott",16.99,68584,"Fiction","Jul",2019,0.0603089400790043,0.353590000065923
"The Other Boy","M G Hennessey",6.99,68639,"Juvenile Fiction","Jun",2019,0.147747715247715,0.524337421837422
"Making Spaces Safer","Shawna Potter",15,68662,"Health & Fitness","May",2019,0,0
"The High Season","Judy Blundell",17,68675,"Fiction","May",2019,0.270977683236304,0.54824197641439
"A Shout in the Ruins","Kevin Powers",16.99,68689,"Fiction","May",2019,0.076043599257885,0.235964381423565
"Yo!","Julia Alvarez",15.95,68734,"Fiction","Apr",2019,0.433333333333333,0.533333333333333
"Policing the Open Road","Sarah A Seo",28.95,68749,"Transportation","Apr",2019,0.0597236372510437,0.406425095520302
"20 Recipes Kids Should Know","Esme Washburn",16.95,68756,"Cooking","Apr",2019,0.22778921121562,0.379304063704184
"Little Women","Mandy Archer",12.99,68765,"Juvenile Fiction","Mar",2019,0.02375,0.0966666666666667
"Little Poet Emily Dickinson","Kate Coombs",9.99,68766,"Juvenile Fiction","Mar",2019,0,0
"The Three Vikings","Adam Auerbach",17.99,68788,"Juvenile Fiction","Mar",2019,0.19046176046176,0.45330266955267
"The Upanishads","Eknath Easwaran",23.95,68828,"Philosophy","Feb",2019,0,0
"When I Walk Through That Door, I Am","Jimmy Santiago Baca",12.95,68831,"Political Science","Feb",2019,0.191312100597815,0.561792413935271
"Where's Waldo? Exciting Expeditions","Martin Handford",12.99,68845,"Juvenile Fiction","Feb",2019,0,0
"The Day Before","Micol Ostow",9.99,68899,"Young Adult Fiction","Dec",2018,0,0
"The House of Impossible Beauties","Joseph Cassara",16.99,68944,"Fiction","Nov",2018,0.143220956457564,0.521545973867402
"Shame Is an Ocean I Swim Across","Mary Lambert",14.99,68958,"Poetry","Oct",2018,0,0
"Jasmine Toguchi, Flamingo Keeper","Debbi Michiko Florence",5.99,69101,"Juvenile Fiction","Jul",2018,0.5,0.183333333333333
"Do Not Become Alarmed","Maile Meloy",16,69134,"Fiction","Jun",2018,0.106095358345358,0.542354449254449
"The Windfall","Diksha Basu",16,69171,"Fiction","May",2018,0.189399088843533,0.396515852071408
"The Art of Rhetoric","Aristotle",14.95,69189,"Study Aids","Apr",2018,0,0
"Basic Black With Pearls","Helen Weinzweig",14.95,69190,"Fiction","Apr",2018,0.133003368159618,0.475188844720095
"Somebody with a Little Hammer","Mary Gaitskill",16,69194,"Psychology","Apr",2018,0.196140572390572,0.47881734006734
"The Epic Fail of Arturo Zamora","Pablo Cartaya",8.99,69210,"Juvenile Fiction","Apr",2018,0.311407828282828,0.405717893217893
"DK Readers L3","Jen Green",3.99,69284,"Juvenile Nonfiction","Feb",2018,0,0
"Binti","Nnedi Okorafor",14.99,69314,"Fiction","Jan",2018,0.25615660430839,0.586412414965986
"Dragon Pox! (Shimmer and Shine)","Courtney Carbone",4.99,69318,"Juvenile Fiction","Jan",2018,0,0
"Underground Airlines","Ben H Winters",15.99,69465,"Fiction","Jul",2017,0.0630772991193244,0.285886524665886
"Jasmine Toguchi, Super Sleuth","Debbi Michiko Florence",5.99,69471,"Juvenile Fiction","Jul",2017,0,0
"The Gift","Barbara Browning",15.95,69497,"Fiction","May",2017,0.324005968778696,0.541419306703398
